city,state,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
New Delhi,Delhi,28.6139,77.209,2025-11-23T14:00,99.2,101.5,11.1,211.0,48.2,627.0,Poor
Mumbai,Maharashtra,19.076,72.8777,2025-11-23T14:00,82.0,83.6,18.0,290.0,27.2,487.0,Moderate
Bengaluru,Karnataka,12.9716,77.5946,2025-11-23T14:00,4.6,5.1,3.5,88.0,2.6,334.0,Good
Chennai,Tamil Nadu,13.0827,80.2707,2025-11-23T14:00,3.4,4.7,2.5,75.0,3.8,236.0,Good
Kolkata,West Bengal,22.5726,88.3639,2025-11-23T14:00,69.6,73.8,5.2,236.0,28.1,459.0,Moderate
Hyderabad,Telangana,17.385,78.4867,2025-11-23T14:00,19.2,20.7,2.4,142.0,7.6,308.0,Good
Pune,Maharashtra,18.5204,73.8567,2025-11-23T14:00,18.5,19.8,2.1,136.0,4.2,292.0,Good
Ahmedabad,Gujarat,23.0225,72.5714,2025-11-23T14:00,53.9,57.9,3.5,171.0,17.3,386.0,Satisfactory
Jaipur,Rajasthan,26.9124,75.7873,2025-11-23T14:00,49.2,52.6,2.3,163.0,10.7,389.0,Satisfactory
Lucknow,Uttar Pradesh,26.8467,80.9462,2025-11-23T14:00,78.7,85.2,2.4,176.0,24.6,474.0,Moderate
Kanpur,Uttar Pradesh,26.4499,80.3319,2025-11-23T14:00,71.0,78.0,2.7,175.0,17.7,461.0,Moderate
Nagpur,Maharashtra,21.1458,79.0882,2025-11-23T14:00,45.3,46.8,25.7,142.0,83.4,351.0,Satisfactory
Indore,Madhya Pradesh,22.7196,75.8577,2025-11-23T14:00,66.8,70.5,2.0,159.0,15.5,350.0,Moderate
Thane,Maharashtra,19.2183,72.9781,2025-11-23T14:00,82.0,83.6,18.0,290.0,27.2,533.0,Moderate
Bhopal,Madhya Pradesh,23.2599,77.4126,2025-11-23T14:00,73.1,79.2,1.5,148.0,11.3,360.0,Moderate
Visakhapatnam,Andhra Pradesh,17.6868,83.2185,2025-11-23T14:00,27.0,29.3,12.7,121.0,11.7,770.0,Good
Pimpri-Chinchwad,Maharashtra,18.6298,73.7997,2025-11-23T14:00,23.0,24.2,2.7,155.0,6.1,360.0,Good
Patna,Bihar,25.5941,85.1376,2025-11-23T14:00,90.1,97.6,2.8,170.0,20.0,473.0,Poor
Vadodara,Gujarat,22.3072,73.1812,2025-11-23T14:00,71.5,73.6,3.7,184.0,17.1,412.0,Moderate
Ghaziabad,Uttar Pradesh,28.6692,77.4538,2025-11-23T14:00,95.9,98.3,10.9,211.0,46.6,645.0,Poor
Ludhiana,Punjab,30.901,75.8573,2025-11-23T14:00,67.3,69.8,3.8,193.0,21.9,667.0,Moderate
Agra,Uttar Pradesh,27.1767,78.0081,2025-11-23T14:00,90.3,95.9,4.2,206.0,26.0,506.0,Poor
Nashik,Maharashtra,19.9975,73.7898,2025-11-23T14:00,29.9,30.6,2.1,176.0,15.7,292.0,Good
Faridabad,Haryana,28.4089,77.3178,2025-11-23T14:00,99.7,102.7,11.8,217.0,49.2,544.0,Poor
Meerut,Uttar Pradesh,28.9845,77.7064,2025-11-23T14:00,95.9,98.3,10.9,211.0,46.6,610.0,Poor
Rajkot,Gujarat,22.3039,70.8022,2025-11-23T14:00,16.8,19.3,1.3,140.0,7.1,265.0,Good
Kalyan-Dombivli,Maharashtra,19.2403,73.1305,2025-11-23T14:00,34.0,34.8,6.6,211.0,12.7,423.0,Satisfactory
Vasai-Virar,Maharashtra,19.3919,72.8397,2025-11-23T14:00,82.0,83.6,18.0,290.0,27.2,429.0,Moderate
Varanasi,Uttar Pradesh,25.3176,82.9739,2025-11-23T14:00,103.6,111.8,2.8,182.0,25.1,491.0,Poor
Srinagar,Jammu and Kashmir,34.0837,74.7973,2025-11-23T14:00,11.4,13.5,2.7,129.0,5.3,421.0,Good
Aurangabad,Maharashtra,19.8762,75.3433,2025-11-23T14:00,16.4,17.2,1.3,129.0,5.4,288.0,Good
Dhanbad,Jharkhand,23.7957,86.4304,2025-11-23T14:00,99.0,106.2,25.2,170.0,72.5,454.0,Poor
Amritsar,Punjab,31.634,74.8723,2025-11-23T14:00,55.8,57.3,6.0,221.0,30.8,614.0,Satisfactory
Navi Mumbai,Maharashtra,19.033,73.0297,2025-11-23T14:00,34.0,34.8,6.6,211.0,12.7,452.0,Satisfactory
Allahabad,Uttar Pradesh,25.4358,81.8463,2025-11-23T14:00,100.1,108.0,3.0,192.0,24.1,444.0,Poor
Howrah,West Bengal,22.5958,88.2636,2025-11-23T14:00,69.6,73.8,5.2,236.0,28.1,472.0,Moderate
Ranchi,Jharkhand,23.3441,85.3096,2025-11-23T14:00,62.4,67.5,2.1,168.0,33.3,331.0,Moderate
Gwalior,Madhya Pradesh,26.2183,78.1828,2025-11-23T14:00,54.2,59.4,1.4,151.0,9.3,395.0,Satisfactory
Jabalpur,Madhya Pradesh,23.1815,79.9864,2025-11-23T14:00,86.4,92.7,2.6,169.0,17.6,438.0,Moderate
Coimbatore,Tamil Nadu,11.0168,76.9558,2025-11-23T14:00,6.2,6.5,1.9,86.0,2.3,272.0,Good
Vijayawada,Andhra Pradesh,16.5062,80.648,2025-11-23T14:00,17.9,19.2,2.2,124.0,8.0,251.0,Good
Jodhpur,Rajasthan,26.2389,73.0243,2025-11-23T14:00,21.4,23.9,1.6,146.0,10.1,308.0,Good
Madurai,Tamil Nadu,9.9252,78.1198,2025-11-23T14:00,6.4,6.5,3.9,81.0,5.3,247.0,Good
Raipur,Chhattisgarh,21.2514,81.6296,2025-11-23T14:00,40.3,41.4,19.8,150.0,18.5,348.0,Satisfactory
Kota,Rajasthan,25.2138,75.8648,2025-11-23T14:00,61.5,67.1,4.6,160.0,35.5,368.0,Moderate
